Incident No.,Reported Date,Reported Time,Category,Building/ Site Name,Incident Summary,Incident Status
1-2013-000310,02/09/2013,4:45 PM,Controlled Substance,Third Avenue North Residence,"On time and date of report, Public Safety was apprised of a suspicious package arriving for a student. It was determined that the same room from incident report 1-2013-000300 was on the address. Students from the room were contacted and opened the package which contained marijuana.",Closed/Referred to University Judicial
1-2013-000311,02/09/2013,8:00 PM,Controlled Substance,Broome Street Residence,"On time and date of report, Public Safety assisted residence life staff in the confiscation of drug paraphernalia from a student's room.",Closed/Referred to University Judicial
1-2013-000312,02/09/2013,11:15 PM,Controlled Substance,Rubin Residence Hall,"On time and date of report, Public Safety assisted residence life staff in the confiscation of marijuana from a student's room.",Closed/Referred to University Judicial
1-2013-000318,02/10/2013,11:00 AM,Criminal Mischief,Hayden Hall,"On time and date of report, a staff member states that sometime before 1:10am on date of report, an unknown person had intentionally damaged a bulletin board on the 12th floor.",Open/Under Investigation
1-2013-000327,02/11/2013,10:05 AM,Larceny,Hayden Hall,"On time and date of report, a student states that between February 7th and 1am on date of report, $280 (USC) and a bottle of medication was taken from his room on the 4th floor. NYPD notified and a police report was filed.",Open/Under Investigation
1-2013-000329,02/11/2013,8:10 PM,Larceny (reclassifed as missing property/recovered),Palladium Hall,"On time and date of report, a student states that at approximately 6pm on date of report, her I-phone valued at $800 was taken from a location in the cafeteria while she was obtaining dinner. Declined police notification. NOTE: Complainant indicated phone was returned to her.",Closed/Property Returned to Owner
1-2013-000336,02/11/2013,5:20 PM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between 4:05pm and 4:20pm on date of report, her I-phone valued at $400 was taken from a bathroom on the ground floor while it was left unattended. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000339,02/12/2013,4:30 AM,Criminal Mischief,7th Street Residence Hall,"On time and date of report, Public Safety observed non bias graffiti on the exterior of the building. It is unknown when this occurred or who is responsible.",Closed/No Identifiable Suspect
1-2013-000348,02/12/2013,1:50 PM,Sexual Offense,NYU Shanghai,"On time and date of report, Public Safety was apprised of a student studying at NYU Shanghai being the victim of a sexual assault in her dormitory room on February 9th. The incident was reported to site personnel. The perpetrator was identified as a person known to the victim and the University.",Closed/Referred to University Judicial
1-2013-000351,02/12/2013,2:15 PM,Larceny,Coles Sports Center,"At time and date of report, a student states that between 2:15pm and time/date of report, his bicycle valued at $250 was taken from the bicycle rack outside of the building. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000355,02/12/2013,7:15 PM,Larceny,Hayden Hall,"On time and date of report, a student states that a cashmere sweater of undetermined value was taken from her room between February th and date of report.",""
1-2013-000359,02/13/2013,7:30 AM,Criminal Mischief,12th Street Dorm/Founders Hall,"On time and date of report, Public Safety was apprised of an unidentified individual throwing paint and debris out of a window which caused minor damage to the building.",Open/Under Investigation
1-2013-000367,02/13/2013,2:10 PM,Larceny,On campus,"On time and date of report, an administrator states that at 7:38pm on February 12th, an unidentified male grabbed her I-Phone from her hand as she was standing on the Broadway line subway platform at 8th street. NYPD notified.",Closed/No Identifiable Suspect
1-2013-000371,02/13/2013,11:35 PM,Larceny,12th Street Dorm/Founders Hall,"On time and date of report, a student states that between 11:00 am and 6:00 pm on date of report, a bag containing camera equipment valued at $2,500 was taken from her room on the 13th floor. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000372,02/14/2013,9:10 AM,Harassment,Off Campus,"On time and date of report, Public Safety was apprised by a non affiliated individual that an NYU student sent numerous harassing emails to members of his organization via an NYU email account. The complainant also indicated that a police complaint has been filed with a local police agency in NJ and will also with the NYPD.",Closed/Referred to Appropriate Department
1-2013-000385,02/14/2013,3:35 PM,Larceny,Coles Sports Center,"On time and date of report, a student states that between 3:30pm and 5pm on February 12th, her wallet containing several credit cards was taken out of an unsecured locker. The student firther states there were unauthorized purchases on her cards and subsequently cancelled them. Declined police notification.",Open/Under Investigation
1-2013-000394,02/15/2013,4:00 PM,Larceny,Kriser Dental Center,"On time and date of report, a faculty member states that between 2:30pm and time date of report, her wallet containing credit cards, cash and personal identification was taken from a seminar room on the 4th floor. Declined police notification at this time.",Closed/No Suspects or Witnesses
1-2013-000398,02/16/2013,3:50 AM,Robbery/Assault,Off Campus,"On time and date of report, Public Safety was apprised that a student was robbed and assaulted while walking on 4th Avenue & 12th Street. Three males approached her and in the process of taking her I-Phone, physically accosted her. NYPD notified and in the process of surveying the area, observed 2 of the 3 males involved. They were placed under arrest. The 3rd perpetrator is still at large.",Closed/Arrest Involved
1-2013-000401,02/16/2013,8:35 AM,Criminal Mischief,Gramercy Green,"On time and date of report, a staff member reports observing non bias graffiti on an exterior door of the building. It is unknown when this occurred or who is responsible.",Closed/No Identifiable Suspect
1-2013-000407,02/17/2013,12:50 PM,Criminal Mischief,Hayden Hall,"On time and date of report, Public Safety was apprised of graffiti written in various locations within the building. The graffiti consisted of derogatory words and comments, though none were directed towards any individual. NYPD notified and a polcie report was filed.",Closed/Referred to Appropriate Department
1-2013-000414,02/18/2013,11:24 AM,Larceny,Vanderbilt Hall,"On time and date of report, a student states that between 7pm and midnight on February 15th, $80 (USC) was removed from a bag she had left in the 1st floor checkroom. Declined polcie notification at this time.",Closed/No Suspects or Witnesses
1-2013-000420,02/18/2013,11:00 PM,Larceny,14 Washington Place,"On time and date of report, a staff member residing in an apartment states that between 9:30pm and time/date of report, clothing valued at $400 was taken from a washing machine located in the basement of the building. Declined police notification.",Closed/No Suspects or Witnesses
1-2013-000423,02/19/2013,9:30 AM,Assault,Kriser Dental Center,"On time and date of report, a staff member states that at 9:25am on date of report, an unidentified male began an altercation with him as he was exiting the elevator on the 8th floor. When Public Safety arrived, the person had left the area. Declined police notification",Closed/Referred to Appropriate Department
